partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
3707	cdd	P0ABF6	N/A	N/A
3708	gudD	P0AES2	N/A	N/A
3709	glpF	P0AER0	N/A	N/A
3710	tesB	P0AGG2	N/A	N/A
3711	araC	P0A9E0	N/A	N/A
3712	ssb	P0AGE0	N/A	N/A
3713	pldA	P0A921	N/A	N/A
3714	purF	P0AG16	N/A	N/A
3715	ompA	P0A910	N/A	N/A
3717	proX	P0AFM2	N/A	N/A
3718	oxyR	P0ACQ4	N/A	N/A
3719	guaB	P0C0H6	N/A	N/A
3720	ompX	P0A917	N/A	N/A
3721	kbl	P0AB77	N/A	N/A
3722	gag-pol	P03366	N/A	N/A
3724	hemK	P0ACC1	N/A	N/A
3725	fucO	P0A9S1	N/A	N/A
3726	serA	P0A9T0	N/A	N/A
3727	kbaY	P0AB74	N/A	N/A
3729	gltA	P0ABH7	N/A	N/A
3735	pntAA	P0C186	N/A	N/A
3736	gapA	P0A9B2	N/A	N/A
3741	mglB	P0AEE5	N/A	N/A
3744	celS	P0C2S5	N/A	N/A
3747	celB	Q54331	N/A	N/A
3755	tsx	P0A927	N/A	N/A
3759	gst	P0A9D2	N/A	N/A
3760	dacA	P0AEB2	N/A	N/A
3763	metF	P0AEZ1	N/A	N/A
3766	pdxH	P0AFI7	N/A	N/A
3767	trxB	P0A9P4	N/A	N/A
3772	fabG	P0AEK2	N/A	N/A
3777	clpA	P0ABH9	N/A	N/A
3778	pntB	P0C188	N/A	N/A
3779	cst-II	Q9LAK3	N/A	N/A
3780	nlpI	P0AFB1	N/A	N/A
3781	dsbC	P0AEG6	N/A	N/A
3783	yjgF	P0AF93	N/A	N/A
3792	eda	P0A955	N/A	N/A
3793	aspA	P0AC38	N/A	N/A
